,session,subject,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift,hatr_shift
96,14,14_A02,1,272.8660255939,1.0038107400000014,0.33647223662121206,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.182321556793954,0.182321556793954
97,14,14_A03,1,272.8660255939,1.0038107400000014,0.182321556793954,-1.0,-1,0,0.9375,0.0,100.0,0.0,0.06631074000000137,0.33647223662121206,0.33647223662121206
98,14,14_A04,1,272.8660255939,1.0038107400000014,0.4054651081081637,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.182321556793954,0.182321556793954
99,14,14_A05,1,272.8660255939,1.0038107400000014,0.4054651081081637,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.4054651081081637,0.4054651081081637
100,14,14_B02,1,272.8660255939,1.0038107400000014,0.5877866649021186,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.4054651081081637,0.4054651081081637
101,14,14_B03,1,272.8660255939,1.0038107400000014,0.04879016416943127,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.5877866649021186,0.5877866649021186
102,14,14_B04,1,272.8660255939,1.0038107400000014,0.33768578568687424,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.04879016416943127,0.04879016416943127
103,14,14_B05,1,272.8660255939,1.0038107400000014,0.5877866649021186,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.33768578568687424,0.33768578568687424
104,14,14_C01,1,272.8660255939,1.0038107400000014,0.182321556793954,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.5877866649021186,0.5877866649021186
105,14,14_C02,1,272.8660255939,1.0038107400000014,0.8960880245566356,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.182321556793954,0.182321556793954
106,14,14_C03,1,272.8660255939,1.0038107400000014,0.33647223662121206,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.8960880245566356,0.8960880245566356
107,14,14_C04,1,272.8660255939,1.0038107400000014,0.19062035960864954,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.33647223662121206,0.33647223662121206
108,14,14_D01,1,272.8660255939,1.0038107400000014,0.182321556793954,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.19062035960864954,0.19062035960864954
109,14,14_D02,1,272.8660255939,1.0038107400000014,0.33647223662121206,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.182321556793954,0.182321556793954
110,14,14_D03,1,272.8660255939,1.0038107400000014,0.2623642644674904,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.33647223662121206,0.33647223662121206
111,14,14_D04,1,272.8660255939,1.0038107400000014,0.13976194237515838,-1.0,1,1,0.9375,0.0,0.0,0.366480216004713,0.06631074000000137,0.2623642644674904,0.2623642644674904
112,17,17_A02,1,230.606246435327,0.8355415092307679,0.5877866649021186,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.13976194237515838,0.13976194237515838
113,17,17_A03,1,230.606246435327,0.8355415092307679,0.5877866649021186,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5877866649021186,0.5877866649021186
114,17,17_A04,1,230.606246435327,0.8355415092307679,0.5596157879354227,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.5877866649021186,0.5877866649021186
115,17,17_A05,1,230.606246435327,0.8355415092307679,0.5877866649021186,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5596157879354227,0.5596157879354227
116,17,17_A06,1,230.606246435327,0.8355415092307679,0.5306282510621703,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5877866649021186,0.5877866649021186
117,17,17_B02,1,230.606246435327,0.8355415092307679,0.182321556793954,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5306282510621703,0.5306282510621703
118,17,17_B03,1,230.606246435327,0.8355415092307679,0.4054651081081637,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.182321556793954,0.182321556793954
119,17,17_B04,1,230.606246435327,0.8355415092307679,0.5306282510621703,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.4054651081081637,0.4054651081081637
120,17,17_B05,1,230.606246435327,0.8355415092307679,0.6365768290715508,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5306282510621703,0.5306282510621703
121,17,17_B06,1,230.606246435327,0.8355415092307679,0.4054651081081637,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.6365768290715508,0.6365768290715508
122,17,17_B07,1,230.606246435327,0.8355415092307679,0.4054651081081637,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.4054651081081637,0.4054651081081637
123,17,17_B08,1,230.606246435327,0.8355415092307679,0.4054651081081637,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.4054651081081637,0.4054651081081637
124,17,17_C01,1,230.606246435327,0.8355415092307679,0.6151856390902326,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.4054651081081637,0.4054651081081637
125,17,17_C02,1,230.606246435327,0.8355415092307679,0.4700036292457348,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.6151856390902326,0.6151856390902326
126,17,17_C03,1,230.606246435327,0.8355415092307679,0.21228480797933358,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.4700036292457348,0.4700036292457348
127,17,17_C04,1,230.606246435327,0.8355415092307679,-0.06187540371808797,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.21228480797933358,0.21228480797933358
128,17,17_C05,1,230.606246435327,0.8355415092307679,0.09531017980432477,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,-0.06187540371808797,-0.06187540371808797
129,17,17_C07,1,230.606246435327,0.8355415092307679,0.5306282510621703,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.09531017980432477,0.09531017980432477
130,17,17_C08,1,230.606246435327,0.8355415092307679,0.4700036292457348,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5306282510621703,0.5306282510621703
131,17,17_D01,1,230.606246435327,0.8355415092307679,0.33647223662121206,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.4700036292457348,0.4700036292457348
132,17,17_D02,1,230.606246435327,0.8355415092307679,0.6151856390902326,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.33647223662121206,0.33647223662121206
133,17,17_D03,1,230.606246435327,0.8355415092307679,0.5877866649021186,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.6151856390902326,0.6151856390902326
134,17,17_D04,1,230.606246435327,0.8355415092307679,0.6931471805599445,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.5877866649021186,0.5877866649021186
135,17,17_D05,1,230.606246435327,0.8355415092307679,0.2623642644674904,-1.0,-1,0,0.769230769230769,0.0,100.0,0.0,0.06631073999999881,0.6931471805599445,0.6931471805599445
136,17,17_D06,1,230.606246435327,0.8355415092307679,0.644482008578664,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.2623642644674904,0.2623642644674904
137,17,17_D07,1,230.606246435327,0.8355415092307679,0.2623642644674904,-1.0,1,1,0.769230769230769,0.0,0.0,0.433639597997813,0.06631073999999881,0.644482008578664,0.644482008578664
138,20,20_A02,1,208.126817338795,0.7329774066666674,0.6575200029167938,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.2623642644674904,0.2623642644674904
139,20,20_A03,1,208.126817338795,0.7329774066666674,0.26696903085423873,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.6575200029167938,0.6575200029167938
140,20,20_A04,1,208.126817338795,0.7329774066666674,0.182321556793954,-1.0,-1,0,0.666666666666667,0.0,100.0,0.0,0.06631074000000048,0.26696903085423873,0.26696903085423873
141,20,20_A05,1,208.126817338795,0.7329774066666674,0.4700036292457348,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.182321556793954,0.182321556793954
142,20,20_B02,1,208.126817338795,0.7329774066666674,-0.6931471805599458,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.4700036292457348,0.4700036292457348
143,20,20_B03,1,208.126817338795,0.7329774066666674,0.5306282510621703,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,-0.6931471805599458,-0.6931471805599458
144,20,20_B04,1,208.126817338795,0.7329774066666674,0.4054651081081637,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.5306282510621703,0.5306282510621703
145,20,20_C01,1,208.126817338795,0.7329774066666674,0.6418538861723944,-1.0,1,1,0.666666666666667,0.0,0.0,0.480476284981657,0.06631074000000048,0.4054651081081637,0.4054651081081637
